id,time,earnings,age,agesq,school,ethblack,urban,regne,regnc,regw,regs,asvabc
2,0,8.701858521,21,441,9,0,1,1,0,0,0,35.5
3,0,7.559382915,18,324,10,0,1,1,0,0,0,48.25
17,0,11.13914299,23,529,13,0,1,1,0,0,0,61.25
18,0,7.921167374,22,484,12,0,1,0,0,1,0,63
24,0,8.092538834,19,361,12,0,1,1,0,0,0,56.25
27,0,6.188412666,19,361,13,0,1,0,0,1,0,61.75
30,0,7.997331142,21,441,12,0,1,1,0,0,0,34.25
34,0,11.42476082,21,441,13,0,0,1,0,0,0,38.75
37,0,8.321032524,21,441,12,0,1,1,0,0,0,55
45,0,13.06230831,20,400,12,0,1,1,0,0,0,50.5
47,0,15.74713039,21,441,12,0,0,1,0,0,0,59.25
48,0,15.69000244,21,441,12,0,0,1,0,0,0,45.25
49,0,10.45365334,21,441,14,0,1,1,0,0,0,58.25
50,0,7.178557873,21,441,12,0,1,1,0,0,0,58.75
52,0,13.46217728,21,441,14,0,0,1,0,0,0,59.5
58,0,9.901459694,23,529,16,0,1,1,0,0,0,61.25
59,0,9.996664047,21,441,12,0,1,1,0,0,0,61.5
78,0,11.99599648,22,484,16,0,1,1,0,0,0,59.5
95,0,6.416907787,19,361,12,0,1,1,0,0,0,45.5
98,0,7.711713314,22,484,13,0,1,1,0,0,0,56.75
104,0,11.3295517,21,441,12,0,1,1,0,0,0,49
105,0,11.3295517,21,441,12,0,1,1,0,0,0,61
110,0,12.98614407,22,484,12,0,1,1,0,0,0,56
111,0,6.416907787,20,400,12,0,1,1,0,0,0,48.25
114,0,17.44179916,23,529,12,0,1,1,0,0,0,60.5
118,0,5.712380409,18,324,9,0,1,1,0,0,0,45.5
125,0,8.092538834,23,529,13,0,1,1,0,0,0,45
126,0,6.664442062,21,441,14,0,1,1,0,0,0,58
128,0,9.920500755,21,441,12,0,1,1,0,0,0,59
134,0,9.806251526,18,324,11,0,1,1,0,0,0,50
136,0,5.712380409,22,484,12,0,1,1,0,0,0,37.75
150,0,6.359782696,20,400,12,0,1,1,0,0,0,49
164,0,6.664442062,20,400,12,0,1,1,0,0,0,41.5
178,0,9.520633698,21,441,12,0,1,1,0,0,0,60.5
179,0,8.321032524,21,441,12,0,1,1,0,0,0,48.25
183,0,10.3774929,21,441,12,0,1,1,0,0,0,52
184,0,6.321699142,19,361,12,0,1,1,0,0,0,54
